Time,Voltage_Out1,Voltage_Out2,Speed_KPH
0.0,1.0,0.5,0.0
0.033,1.0,0.5,0.0
0.07,1.0,0.5,0.0
0.106,1.0,0.5,0.0
0.145,1.0,0.5,0.0
0.182,1.0,0.5,0.0
0.218,1.0,0.5,0.0
0.255,1.0,0.5,0.0
0.29,1.0,0.5,0.0
0.328,1.0,0.5,0.0
0.366,1.0,0.5,0.0
0.402,1.0,0.5,0.0
0.442,1.0,0.5,0.0
0.477,1.0,0.5,0.0
0.517,1.0,0.5,0.0
0.557,1.0,0.5,0.0
0.592,1.0,0.5,0.0
0.628,1.0,0.5,0.0
0.668,1.0,0.5,0.0
0.705,1.0,0.5,0.0
0.743,1.0,0.5,0.0
0.781,1.0,0.5,0.0
0.82,1.0,0.5,0.0
0.856,1.0,0.5,0.0
0.895,1.0,0.5,0.0
0.931,1.0,0.5,0.0
0.966,1.0,0.5,0.0
1.003,1.0,0.5,0.0
1.04,1.0,0.5,0.0
1.081,1.0,0.5,0.0
1.119,1.0,0.5,0.0
1.157,1.0,0.5,0.0
1.197,1.0,0.5,0.0
1.233,1.0,0.5,0.0
1.275,1.0,0.5,0.0
1.312,1.0,0.5,0.0
1.35,1.0,0.5,0.0
1.384,1.0,0.5,0.0
1.423,1.0,0.5,0.0
1.46,1.0,0.5,0.0
1.502,1.0,0.5,0.0
1.524,1.0,0.5,0.0
1.562,1.0,0.5,0.0
1.584,1.0,0.5,0.0
1.624,1.0,0.5,0.0
1.67,1.0,0.5,0.0
1.708,1.0,0.5,0.0
1.752,1.0,0.5,0.0
1.79,1.0,0.5,0.0
1.815,1.0,0.5,0.0
1.852,1.0,0.5,0.0
1.873,1.0,0.5,0.0
1.908,1.0,0.5,0.0
1.931,1.0,0.5,0.0
1.972,1.0,0.5,0.0
2.008,1.0,0.5,0.0
2.03,1.0,0.5,0.0
2.069,1.0,0.5,0.0
2.107,1.0,0.5,0.0
2.144,1.0,0.5,0.0
2.183,1.0,0.5,0.0
2.224,1.0,0.5,0.0
2.264,1.0,0.5,0.0
2.306,1.0,0.5,0.0
2.345,1.0,0.5,0.0
2.387,1.0,0.5,0.0
2.428,1.0,0.5,0.0
2.463,1.0,0.5,0.0
2.5,1.0,0.5,0.0
2.537,1.0,0.5,0.0
2.575,1.0,0.5,0.0
2.613,1.0,0.5,0.0
2.654,1.0,0.5,0.0
2.693,1.0,0.5,0.0
2.731,1.0,0.5,0.0
2.771,1.0,0.5,0.0
2.811,1.0,0.5,0.0
2.851,1.0,0.5,0.0
2.891,1.0,0.5,0.0
2.929,1.0,0.5,0.0
2.97,1.0,0.5,0.0
3.01,1.0,0.5,0.0
3.051,1.0,0.5,0.0
3.09,1.0,0.5,0.0
